OBJECTID,RowNumber,Incident_Type,Date_Occurred,Date_Received,File_Number,Investigation_Status,Disposition,Citizen_Arrested,UseOfForce_Reason,Citizen_Injured,Officer_Injured,Cit_Infl_Assmt,Report_Type,Sex,Race,Citizen_Age,Year,Force_Used
333,333,Use of force,2018/11/14 05:00:00+00,2018/11/14 05:00:00+00,IA2018-0795,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol and unknown drugs,Complainant,Female,Black,18-25,2018,Pepper Spray
334,334,Use of force,2018/11/17 05:00:00+00,2018/11/17 05:00:00+00,IA2018-0826,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,Black,26-35,2018,Physical Force
335,335,Use of force,2018/11/17 05:00:00+00,2018/11/17 05:00:00+00,IA2018-0826,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,Black,26-35,2018,Physical Force
336,336,Use of force,2018/12/02 05:00:00+00,2018/12/02 05:00:00+00,IA2018-0857,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,36-45,2018,Taser
337,337,Use of force,2018/07/12 03:59:59+00,2018/07/12 03:59:59+00,IA2018-0457,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,26-35,2018,Taser
338,338,Use of force,2018/07/12 03:59:59+00,2018/07/12 03:59:59+00,IA2018-0457,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,26-35,2018,Taser
339,339,Use of force,2018/07/12 03:59:59+00,2018/07/12 03:59:59+00,IA2018-0457,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,26-35,2018,Physical Force
340,340,Use of force,2018/07/12 03:59:59+00,2018/07/12 03:59:59+00,IA2018-0457,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,26-35,2018,Physical Force
341,341,Use of force,2018/07/12 03:59:59+00,2018/07/12 03:59:59+00,IA2018-0457,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,26-35,2018,Physical Force
342,342,Use of force,2018/12/16 05:00:00+00,2018/12/16 05:00:00+00,IA2019-0038,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,Black,36-45,2018,Physical Force
343,343,Use of force,2018/12/10 05:00:00+00,2018/12/10 05:00:00+00,IA2019-0009,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,White,36-45,2018,Physical Force
344,344,Use of force,2018/12/10 05:00:00+00,2018/12/10 05:00:00+00,IA2019-0009,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,White,36-45,2018,Physical Force
345,345,Use of force,2018/11/09 05:00:00+00,2018/11/14 05:00:00+00,IA2018-0840,Completed,Sustained,Yes,Other (Explain in Narrative),Yes,No,,Complainant,Male,No Race Listed,46-55,2018,Other
346,346,Use of force,2018/12/10 05:00:00+00,2018/12/10 05:00:00+00,IA2019-0032,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,White,36-45,2018,Taser
347,347,Use of force,2018/12/15 05:00:00+00,2018/12/15 05:00:00+00,IA2018-0846,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,18-25,2018,Taser
348,348,Use of force,2018/12/05 05:00:00+00,2018/12/05 05:00:00+00,IA2018-0858,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Female,White,26-35,2018,Other Less Lethal Munit
349,349,Use of force,2018/12/11 05:00:00+00,2018/12/11 05:00:00+00,IA2019-0007,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,36-45,2018,Physical Force
350,350,Use of force,2018/12/11 05:00:00+00,2018/12/11 05:00:00+00,IA2019-0007,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,36-45,2018,Physical Force
351,351,Use of force,2018/12/13 05:00:00+00,2018/12/13 05:00:00+00,IA2019-0025,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,36-45,2018,Taser
352,352,Use of force,2018/12/23 05:00:00+00,2018/12/23 05:00:00+00,IA2019-0003,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,46-55,2018,Physical Force
353,353,Use of force,2018/12/23 05:00:00+00,2018/12/23 05:00:00+00,IA2019-0003,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,46-55,2018,Physical Force
354,354,Use of force,2018/12/31 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0035,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,White,26-35,2018,Physical Force
355,355,Use of force,2018/12/31 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0035,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,White,26-35,2018,Physical Force
356,356,Use of force,2018/12/31 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0035,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,White,26-35,2018,Physical Force
357,357,Use of force,2018/12/31 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0035,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,White,26-35,2018,Taser
358,358,Use of force,2018/12/20 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0004,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,26-35,2018,Physical Force
359,359,Use of force,2018/12/20 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0004,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,26-35,2018,Physical Force
360,360,Use of force,2018/12/20 05:00:00+00,2018/12/31 05:00:00+00,IA2019-0004,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,26-35,2018,Physical Force
361,361,Use of force,2018/12/28 05:00:00+00,2018/12/28 05:00:00+00,IA2019-0026,Completed,Exonerated,No,Self Harming Behavior,Yes,No,Mentally unstable,Complainant,Female,White,26-35,2018,Taser
362,362,Use of force,2018/12/28 05:00:00+00,2018/12/28 05:00:00+00,IA2019-0026,Completed,Exonerated,No,Self Harming Behavior,Yes,No,Mentally unstable,Complainant,Female,White,26-35,2018,Physical Force
363,363,Use of force,2019/01/04 05:00:00+00,2019/01/04 05:00:00+00,IA2019-0068,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,26-35,2019,Physical Force
364,364,Use of force,2019/01/02 05:00:00+00,2019/01/02 05:00:00+00,IA2019-0060,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,Black,26-35,2019,Physical Force
365,365,Use of force,2019/01/02 05:00:00+00,2019/01/02 05:00:00+00,IA2019-0060,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,Black,26-35,2019,Physical Force
366,366,Use of force,2019/01/02 05:00:00+00,2019/01/02 05:00:00+00,IA2019-0060,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,Black,26-35,2019,Physical Force
367,367,Use of force,2019/01/16 05:00:00+00,2019/01/16 05:00:00+00,IA2019-0150,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol,Complainant,Male,White,36-45,2019,Physical Force
368,368,Use of force,2019/01/16 05:00:00+00,2019/01/16 05:00:00+00,IA2019-0150,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol,Complainant,Male,White,36-45,2019,Physical Force
369,369,Use of force,2019/01/16 05:00:00+00,2019/01/16 05:00:00+00,IA2019-0150,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol,Complainant,Male,White,36-45,2019,Taser
370,370,Use of force,2019/01/16 05:00:00+00,2019/01/16 05:00:00+00,IA2019-0150,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol,Complainant,Male,White,36-45,2019,Physical Force
371,371,Use of force,2019/01/13 05:00:00+00,2019/01/13 05:00:00+00,IA2019-0036,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,18-25,2019,Physical Force
372,372,Use of force,2019/01/13 05:00:00+00,2019/01/13 05:00:00+00,IA2019-0036,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,18-25,2019,Physical Force
373,373,Use of force,2019/01/14 05:00:00+00,2019/01/14 05:00:00+00,IA2019-0069,Completed,Exonerated,Yes,Fleeing,Yes,No,Drugs,Complainant,Male,Black,18-25,2019,Physical Force
374,374,Use of force,2019/01/14 05:00:00+00,2019/01/14 05:00:00+00,IA2019-0069,Completed,Exonerated,Yes,Fleeing,Yes,No,Drugs,Complainant,Male,Black,18-25,2019,Physical Force
375,375,Use of force,2019/01/14 05:00:00+00,2019/01/14 05:00:00+00,IA2019-0069,Completed,Exonerated,Yes,Fleeing,Yes,No,Drugs,Complainant,Male,Black,18-25,2019,Physical Force
376,376,Use of force,2019/01/14 05:00:00+00,2019/01/14 05:00:00+00,IA2019-0069,Completed,Exonerated,Yes,Fleeing,Yes,No,Drugs,Complainant,Male,Black,18-25,2019,Other
377,377,Use of force,2019/01/01 05:00:00+00,2019/01/01 05:00:00+00,IA2019-0046,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,White,26-35,2019,Physical Force
378,378,Use of force,2019/01/01 05:00:00+00,2019/01/01 05:00:00+00,IA2019-0046,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,White,26-35,2019,Taser
379,379,Use of force,2019/01/05 05:00:00+00,2019/01/05 05:00:00+00,IA2019-0076,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,46-55,2019,Taser
380,380,Use of force,2019/01/05 05:00:00+00,2019/01/05 05:00:00+00,IA2019-0076,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,46-55,2019,Taser
381,381,Use of force,2019/01/05 05:00:00+00,2019/01/05 05:00:00+00,IA2019-0076,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,46-55,2019,Physical Force
382,382,Firearm discharge,2018/09/03 03:59:59+00,2018/09/03 03:59:59+00,IA2018-0740,Completed,Exonerated,No,,,,Mentally unstable,Complainant,Male,White,36-45,2018,Firearm
383,383,Use of force,2019/01/08 05:00:00+00,2019/01/08 05:00:00+00,IA2019-0041,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,46-55,2019,Pepper Spray
384,384,Use of force,2019/01/22 05:00:00+00,2019/01/22 05:00:00+00,IA2019-0052,Completed,Exonerated,Yes,Other (Explain in Narrative),No,No,Alcohol and unknown drugs,Complainant,Male,White,36-45,2019,Other
385,385,Use of force,2019/01/22 05:00:00+00,2019/01/22 05:00:00+00,IA2019-0052,Completed,Exonerated,Yes,Other (Explain in Narrative),No,No,Alcohol and unknown drugs,Complainant,Male,White,36-45,2019,Other
386,386,Use of force,2019/01/14 05:00:00+00,2019/01/14 05:00:00+00,IA2019-0044,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,36-45,2019,Physical Force
387,387,Use of force,2019/01/19 05:00:00+00,2019/01/19 05:00:00+00,IA2019-0133,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Female,Black,18-25,2019,Taser
388,388,Use of force,2019/01/28 05:00:00+00,2019/01/28 05:00:00+00,IA2019-0063,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,18-25,2019,Physical Force
389,389,Use of force,2019/01/28 05:00:00+00,2019/01/28 05:00:00+00,IA2019-0063,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,18-25,2019,Physical Force
390,390,Use of force,2019/01/28 05:00:00+00,2019/01/28 05:00:00+00,IA2019-0063,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,18-25,2019,Physical Force
391,391,Use of force,2019/01/25 05:00:00+00,2019/01/25 05:00:00+00,IA2019-0101,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,White,18-25,2019,Physical Force
392,392,Use of force,2019/01/25 05:00:00+00,2019/01/25 05:00:00+00,IA2019-0101,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,White,18-25,2019,Physical Force
393,393,Use of force,2019/02/04 05:00:00+00,2019/02/04 05:00:00+00,IA2019-0073,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,Black,36-45,2019,Chemical Munitions
394,394,Use of force,2019/02/04 05:00:00+00,2019/02/04 05:00:00+00,IA2019-0073,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,Black,36-45,2019,Chemical Munitions
395,395,Use of force,2019/02/04 05:00:00+00,2019/02/04 05:00:00+00,IA2019-0073,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,Black,36-45,2019,Chemical Munitions
396,396,Use of force,2019/02/11 05:00:00+00,2019/02/11 05:00:00+00,IA2019-0118,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,26-35,2019,Taser
397,397,Use of force,2019/02/11 05:00:00+00,2019/02/11 05:00:00+00,IA2019-0118,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,26-35,2019,Physical Force
398,398,Use of force,2019/02/18 05:00:00+00,2019/02/18 05:00:00+00,IA2019-0098,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2019,Physical Force
399,399,Use of force,2019/02/18 05:00:00+00,2019/02/18 05:00:00+00,IA2019-0098,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2019,Physical Force
400,400,Use of force,2019/02/18 05:00:00+00,2019/02/18 05:00:00+00,IA2019-0098,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2019,Physical Force
401,401,Use of force,2019/02/06 05:00:00+00,2019/02/06 05:00:00+00,IA2019-0137,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,36-45,2019,Other
402,402,Use of force,2019/02/06 05:00:00+00,2019/02/06 05:00:00+00,IA2019-0137,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,36-45,2019,Physical Force
403,403,Use of force,2019/02/05 05:00:00+00,2019/02/05 05:00:00+00,IA2019-0115,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,46-55,2019,Physical Force
404,404,Use of force,2019/02/13 05:00:00+00,2019/02/13 05:00:00+00,IA2019-0109,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,Black,0-17,2019,Physical Force
405,405,Use of force,2019/02/20 05:00:00+00,2019/02/20 05:00:00+00,IA2019-0147,Completed,Exonerated,Yes,Fleeing,Yes,No,Drugs,Complainant,Male,Black,18-25,2019,Physical Force
406,406,Use of force,2019/02/21 05:00:00+00,2019/02/21 05:00:00+00,IA2019-0199,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Taser
407,407,Use of force,2019/02/12 05:00:00+00,2019/02/12 05:00:00+00,IA2019-0143,Completed,Exonerated,Yes,Non-Compliance,No,No,Drugs,Complainant,Male,Black,36-45,2019,Taser
408,408,Use of force,2019/02/12 05:00:00+00,2019/02/12 05:00:00+00,IA2019-0143,Completed,Exonerated,Yes,Non-Compliance,No,No,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
409,409,Use of force,2019/02/12 05:00:00+00,2019/02/12 05:00:00+00,IA2019-0143,Completed,Exonerated,Yes,Non-Compliance,No,No,Drugs,Complainant,Male,Black,36-45,2019,Taser
410,410,Use of force,2019/02/24 05:00:00+00,2019/02/24 05:00:00+00,IA2019-0212,Completed,Exonerated,Yes,Fleeing,Yes,Yes,Alcohol,Complainant,Male,White,18-25,2019,Physical Force
411,411,Use of force,2019/02/26 05:00:00+00,2019/02/26 05:00:00+00,IA2019-0105,Completed,Partially Sustained,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,
412,412,Use of force,2019/02/26 05:00:00+00,2019/02/26 05:00:00+00,IA2019-0105,Completed,Partially Sustained,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,
413,413,Use of force,2019/02/26 05:00:00+00,2019/02/26 05:00:00+00,IA2019-0105,Completed,Partially Sustained,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,
414,414,Firearm discharge,2019/02/05 05:00:00+00,2019/02/05 05:00:00+00,IA2019-0106,Completed,Exonerated,No,,,,Unknown,Complainant,Male,Black,>55,2019,Firearm
415,415,Firearm discharge,2019/02/05 05:00:00+00,2019/02/05 05:00:00+00,IA2019-0106,Completed,Exonerated,No,,,,Unknown,Complainant,Male,Black,>55,2019,Firearm
416,416,Use of force,2019/02/19 05:00:00+00,2019/02/19 05:00:00+00,IA2019-0111,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
417,417,Use of force,2019/02/21 05:00:00+00,2019/02/21 05:00:00+00,IA2019-0184,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,36-45,2019,Taser
418,418,Use of force,2019/02/21 05:00:00+00,2019/02/21 05:00:00+00,IA2019-0184,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,36-45,2019,Physical Force
419,419,Use of force,2019/03/01 05:00:00+00,2019/03/01 05:00:00+00,IA2019-0136,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,26-35,2019,Taser
420,420,Use of force,2019/03/01 05:00:00+00,2019/03/01 05:00:00+00,IA2019-0136,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,26-35,2019,Physical Force
421,421,Use of force,2019/03/01 05:00:00+00,2019/03/01 05:00:00+00,IA2019-0136,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,26-35,2019,Physical Force
422,422,Use of force,2019/03/10 05:00:00+00,2019/03/10 05:00:00+00,IA2019-0186,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
423,423,Use of force,2019/03/10 05:00:00+00,2019/03/10 05:00:00+00,IA2019-0186,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
424,424,Use of force,2019/03/10 05:00:00+00,2019/03/10 05:00:00+00,IA2019-0186,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Taser
425,425,Use of force,2019/03/10 05:00:00+00,2019/03/10 05:00:00+00,IA2019-0186,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
426,426,Use of force,2019/03/10 05:00:00+00,2019/03/10 05:00:00+00,IA2019-0186,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
427,427,Use of force,2019/03/13 03:59:59+00,2019/03/13 03:59:59+00,IA2019-0187,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,18-25,2019,Physical Force
428,428,Use of force,2019/03/16 03:59:59+00,2019/03/16 03:59:59+00,IA2019-0188,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
429,429,Use of force,2019/03/16 03:59:59+00,2019/03/16 03:59:59+00,IA2019-0188,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
430,430,Use of force,2019/03/26 03:59:59+00,2019/03/26 03:59:59+00,IA2019-0172,Completed,Exonerated,Yes,Combative,No,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
431,431,Use of force,2019/03/26 03:59:59+00,2019/03/26 03:59:59+00,IA2019-0172,Completed,Exonerated,Yes,Combative,No,No,Unknown,Complainant,Male,White,36-45,2019,Physical Force
432,432,Use of force,2019/03/19 03:59:59+00,2019/03/19 03:59:59+00,IA2019-0189,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,26-35,2019,Other
433,433,Use of force,2019/03/19 03:59:59+00,2019/03/19 03:59:59+00,IA2019-0189,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,White,26-35,2019,Physical Force
434,434,Use of force,2019/03/30 03:59:59+00,2019/03/30 03:59:59+00,IA2019-0226,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,>55,2019,Taser
435,435,Use of force,2019/03/30 03:59:59+00,2019/03/30 03:59:59+00,IA2019-0226,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,>55,2019,Physical Force
436,436,Use of force,2019/04/13 03:59:59+00,2019/04/13 03:59:59+00,IA2019-0230,Completed,Exonerated,Yes,Non-Compliance,No,No,Alcohol,Complainant,Male,Black,18-25,2019,Taser
437,437,Use of force,2019/04/10 03:59:59+00,2019/04/10 03:59:59+00,IA2019-0205,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2019,Chemical Munitions
438,438,Use of force,2019/04/10 03:59:59+00,2019/04/10 03:59:59+00,IA2019-0205,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2019,Chemical Munitions
439,439,Use of force,2019/04/10 03:59:59+00,2019/04/10 03:59:59+00,IA2019-0205,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2019,Chemical Munitions
440,440,Use of force,2019/04/10 03:59:59+00,2019/04/10 03:59:59+00,IA2019-0205,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2019,Chemical Munitions
441,441,Use of force,2019/04/02 03:59:59+00,2019/04/02 03:59:59+00,IA2019-0228,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,36-45,2019,Taser
442,442,Use of force,2019/03/27 03:59:59+00,2019/04/23 03:59:59+00,IA2019-0252,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,18-25,2019,Other
443,443,Use of force,2019/03/27 03:59:59+00,2019/04/23 03:59:59+00,IA2019-0252,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,18-25,2019,Other
444,444,Use of force,2019/04/03 03:59:59+00,2019/04/03 03:59:59+00,IA2019-0241,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,Black,26-35,2019,Physical Force
445,445,Use of force,2019/04/15 03:59:59+00,2019/04/15 03:59:59+00,IA2019-0231,Completed,Exonerated,Yes,Combative,No,No,Unknown,Complainant,Female,White,26-35,2019,Taser
446,446,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0237,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
447,447,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0237,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Taser
448,448,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0237,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
449,449,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0237,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Other
450,450,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0237,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
451,451,Use of force,2019/04/17 03:59:59+00,2019/04/17 03:59:59+00,IA2019-0232,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,White,36-45,2019,Taser
452,452,Use of force,2019/04/16 03:59:59+00,2019/04/16 03:59:59+00,IA2019-0250,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
453,453,Use of force,2019/04/16 03:59:59+00,2019/04/16 03:59:59+00,IA2019-0250,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
454,454,Use of force,2019/04/16 03:59:59+00,2019/04/16 03:59:59+00,IA2019-0250,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
455,455,Use of force,2019/04/16 03:59:59+00,2019/04/16 03:59:59+00,IA2019-0250,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2019,Other
456,456,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0255,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Taser
457,457,Use of force,2019/04/18 03:59:59+00,2019/04/18 03:59:59+00,IA2019-0255,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Taser
458,458,Use of force,2019/04/24 03:59:59+00,2019/04/24 03:59:59+00,IA2019-0265,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,White,18-25,2019,Physical Force
459,459,Use of force,2019/04/24 03:59:59+00,2019/04/24 03:59:59+00,IA2019-0265,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,White,18-25,2019,Physical Force
460,460,Use of force,2019/04/26 03:59:59+00,2019/04/26 03:59:59+00,IA2019-0276,Completed,Exonerated,No,Combative,No,No,Drugs,Complainant,Male,White,26-35,2019,Taser
461,461,Use of force,2019/04/23 03:59:59+00,2019/04/23 03:59:59+00,IA2019-0257,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,White,18-25,2019,Physical Force
462,462,Use of force,2019/04/29 03:59:59+00,2019/04/29 03:59:59+00,IA2019-0277,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,White,26-35,2019,Taser
463,463,Use of force,2019/05/13 03:59:59+00,2019/05/13 03:59:59+00,IA2019-0314,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,36-45,2019,Taser
464,464,Use of force,2019/05/21 03:59:59+00,2019/05/21 03:59:59+00,IA2019-0348,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Physical Force
465,465,Use of force,2019/05/21 03:59:59+00,2019/05/21 03:59:59+00,IA2019-0348,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Physical Force
466,466,Use of force,2019/05/21 03:59:59+00,2019/05/21 03:59:59+00,IA2019-0348,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Taser
467,467,Use of force,2019/05/21 03:59:59+00,2019/05/21 03:59:59+00,IA2019-0348,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2019,Physical Force
468,468,Use of force,2019/05/07 03:59:59+00,2019/05/22 03:59:59+00,IA2019-0351,Completed,Exonerated,Yes,Weapon,No,No,Unknown,Complainant,Male,White,46-55,2019,Taser
469,469,Use of force,2019/05/09 03:59:59+00,2019/05/09 03:59:59+00,IA2019-0304,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,26-35,2019,Physical Force
